image_path,prompt
archive/Training/no_tumor/image(258).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image (40).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(265).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(233).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(44).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(299).jpg,MRI of brain with no tumor
archive/Training/no_tumor/image(269).jpg,MRI of brain with no tumor
archive/Training/pituitary_tumor/p (724).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (390).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (280).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (65).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (22).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (504).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (409).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (241).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (668).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (290).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (399).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (77).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (226).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (165).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (465).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (397).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (684).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (127).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (689).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (386).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (355).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (634).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (385).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (776).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (97).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (175).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (303).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (26).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (88).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (481).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (487).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (518).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (69).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (477).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (184).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (377).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (420).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (250).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (616).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (173).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (421).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (512).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (283).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (697).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (432).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (720).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (752).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (248).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (415).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (543).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (665).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (791).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (167).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (780).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (566).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (468).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (464).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (58).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (278).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (56).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (585).jpg,MRI of brain with pituitary tumor
archive/Training/pituitary_tumor/p (116).jpg,MRI of brain with pituitary tumor
