image_path,prompt
archive/Training/glioma_tumor/gg (164).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (508).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (419).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (297).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (494).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (19).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (774).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (720).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (440).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (307).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (462).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (166).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (453).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (538).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (213).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (124).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (390).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (143).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (392).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (706).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (582).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (34).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (794).jpg,MRI of brain with glioma tumor
archive/Training/glioma_tumor/gg (536).jpg,MRI of brain with glioma tumor
archive/Training/meningioma_tumor/m3 (60).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (116).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(3).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(78).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (172).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (240).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (89).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (168).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (169).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (209).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (145).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (74).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (11).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (74).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(128).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (169).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (133).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (178).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(30).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (24).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (73).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(18).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (75).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (83).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (144).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (28).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (181).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (146).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (96).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(24).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (108).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (127).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (83).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (48).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (195).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(150).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (137).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (105).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (177).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(89).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (99).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (80).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (158).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (58).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (31).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (152).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (109).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (91).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (93).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (73).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (71).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(127).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(71).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (156).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (19).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(56).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (129).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (200).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (116).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (59).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (64).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (218).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (64).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (219).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (101).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (198).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (10).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (93).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(96).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (91).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (141).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(75).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (165).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (160).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (40).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (94).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (167).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (157).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (30).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(29).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (26).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (158).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(120).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (54).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (69).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (161).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(142).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (51).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (110).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (14).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(173).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (90).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (101).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (208).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (2).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (62).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (176).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (211).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (105).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(41).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (131).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (26).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (143).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (68).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(22).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (164).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (57).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(58).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (55).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (44).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (13).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (4).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (229).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(133).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(192).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (124).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (121).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (114).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(147).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (115).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (153).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(181).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (51).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (15).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (27).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(31).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (95).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (32).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (112).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (106).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (185).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(23).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(94).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(43).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (143).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (217).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(88).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (14).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(38).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (29).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(197).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (43).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(8).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (108).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (175).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(87).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (213).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (166).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(187).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (161).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (215).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(175).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (1).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (246).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (25).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(106).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (36).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(72).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (86).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m (158).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (17).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(146).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (52).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (128).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m1(70).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m2 (106).jpg,MRI of brain with meningioma tumor
archive/Training/meningioma_tumor/m3 (67).jpg,MRI of brain with meningioma tumor
